ID,Name,Author,Genre
307,Lords and Ladies,Terry Pratchett,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
308,The Day of Reckoning,Judy Blundell,"{""Science Fiction"",""Speculative fiction"",""Children's literature"", ""Fiction""}"
309,The Woman Warrior,Maxine Hong Kingston,"{""Autobiography"",""Children's literature"", }"
310,Timewyrm: Genesys,John Peel,"{""Speculative fiction""}"
311,The Singing Tree,Kate Seredy,"{""Children's literature""}"
312,From the Earth to the Moon,Jules Verne,"{""Science Fiction"",""Speculative fiction"", ""Novel"", ""Scientific romance""}"
313,"Wolf's Head, Wolf's Heart",Jane Lindskold,"{""Speculative fiction"", ""Fantasy""}"
314,Epic,Conor Kostick,"{""Fantasy"", ""Young adult literature""}"
315,Mariel of Redwall,Brian Jacques,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
316,The Clue in the Crumbling Wall,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature"", ""Fiction""}"
317,Seawitch,Alistair MacLean,"{""Thriller""}"
318,The Interruption of Everything,Terry McMillan,"{""Novel""}"
319,Shadows on the Rock,Willa Cather,"{""Children's literature"", ""Fiction"", ""Historical novel""}"
320,Kings of the High Frontier,Victor Koman,"{""Hard science fiction"", ""Science Fiction"",""Speculative fiction""}"
321,Mona Lisa Overdrive,William Gibson,"{""Cyberpunk"", ""Science Fiction"",""Speculative fiction"", ""Novel"", ""Dystopia""}"
322,Straken,Terry Brooks,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
323,Shadow's Edge,Brent Weeks,"{""Fantasy""}"
324,Destry Rides Again,Frederick Schiller Faust,"{""Western fiction""}"
325,The Honorable Barbarian,L. Sprague de Camp,"{""Speculative fiction"", ""Fantasy""}"
326,"Lad, A Dog",Albert Payson Terhune,"{""Young adult literature""}"
327,House Made of Dawn,N. Scott Momaday,"{""Historical fiction"",""Children's literature"", ""Fiction"", ""Novel""}"
328,Things My Girlfriend and I Have Argued About,Mil Millington,"{""Novel""}"
329,Blindsight,Peter Watts,"{""Science Fiction"",""Speculative fiction""}"
330,The Pendragon Adventure,D.J. MacHale,"{""Fantasy"", ""Science Fiction"", ""Young adult literature""}"
331,Mattimeo,Brian Jacques,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
332,Less than Angels,Barbara Pym,"{""Fiction""}"
333,The Return of Tarzan,Edgar Rice Burroughs,"{""Science Fiction"",""Children's literature"", ""Reference"", ""Adventure novel"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
334,Double Whammy,Carl Hiaasen,"{""Mystery"", ""Suspense""}"
335,The Stingray Shuffle,Tim Dorsey,"{""Crime Fiction""}"
336,Xenocide,Orson Scott Card,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
337,The Fall of the Templar,Derek Benz,"{""Science Fiction"",""Children's literature"", ""Fiction"", ""Adventure novel""}"
338,Vampirates:Black Heart,Justin Somper,"{""Children's literature""}"
339,Tom Swift and His Electric Runabout,Victor Appleton,"{""Young adult literature"", ""Adventure novel""}"
340,Cold is the Grave,Peter Robinson,"{""Crime Fiction"",""Mystery""}"
341,"Morning, Noon and Night",Sidney Sheldon,"{""Crime Fiction"", ""Fiction""}"
342,Islands of Space,John W. Campbell,"{""Science Fiction""}"
343,The Moral Landscape,Sam Harris,"{""Sociology""}"
344,Seeing is Believing,John Dickson Carr,"{""Mystery"", ""Detective fiction"", ""Novel""}"
345,Lock and Key,Sarah Dessen,"{""Children's literature"", ""Young adult literature"", ""Fiction""}"
346,The Red Necklace,Sally Gardner,"{""Historical novel""}"
347,The Outcry,Henry James,"{""Novel""}"
348,San Andreas,Alistair MacLean,"{""Historical fiction"", ""Novel""}"
349,The Age of the Pussyfoot,Frederik Pohl,"{""Science Fiction"",""Speculative fiction""}"
350,The Green Futures of Tycho,William Sleator,"{""Science Fiction"",""Children's literature"",""Speculative fiction"", ""Young adult literature"", ""Fantasy"", ""Fiction""}"
351,Jurassic Adventures: Survivor,Scott Ciencin,"{""Science Fiction"", ""Fantasy""}"
352,No More Dead Dogs,Gordon Korman,"{""Children's literature""}"
353,Heidi,Johanna Spyri,"{""Children's literature""}"
354,The Story of the Phantom: The Ghost Who Walks,Lee Falk,"{""Science Fiction""}"
355,The Front Runner,Patricia Nell Warren,"{""Fiction""}"
356,Ender in Exile: Ganges,Orson Scott Card,"{""Science Fiction"",""Speculative fiction""}"
357,My Lucky Star,Joe Keenan,"{""Novel""}"
358,Evil Star,Anthony Horowitz,"{""Thriller"", ""Fantasy"", ""Fiction"", ""Adventure novel""}"
359,The Keep,Jennifer Egan,"{""Novel""}"
360,Bull Run,Paul Fleischman,"{""Historical novel"",""Children's literature"", ""Reference"",""Speculative fiction"", ""Fiction""}"
361,The Prestige,Christopher Priest,"{""Science Fiction"",""Speculative fiction"",""Mystery"", ""Fantasy"", ""Fiction"", ""Suspense""}"
362,"It's Like This, Cat",Emily Neville,"{""Children's literature""}"
363,253,Geoff Ryman,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
364,The One Tree,Stephen R. Donaldson,"{""Fantasy"", ""Science Fiction"",""Speculative fiction"", ""Horror"", ""Fiction""}"
365,Colony,Melinda Metz,"{""Speculative fiction"", ""Horror""}"
366,Don't Judge A Girl By Her Cover,Ally Carter,"{""Young adult literature""}"
367,The Color of Death: A Sir John Fielding Mystery,Bruce Cook,"{""Crime Fiction"", ""Historical novel""}"
368,The Ravenous,T. M. Gray,"{""Horror"", ""Fiction""}"
369,Jasmine,Bharati Mukherjee,"{""Fiction"", ""Novel""}"
370,Reading Like a Writer,Francine Prose,"{""Non-fiction""}"
371,Strange Piece of Paradise,Terri Jentz,"{""Non-fiction""}"
372,Dragons' Wrath,Justin Richards,"{""Speculative fiction""}"
373,Spadework,Timothy Findley,"{""Fiction"", ""Novel""}"
374,Showdown at Centerpoint,Roger MacBride Allen,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
375,Romance of the Three Kingdoms,Luo Guanzhong,"{""War novel"", ""Historical novel""}"
376,Teen Idol,Meg Cabot,"{""Young adult literature""}"
377,The Efficiency Expert,Edgar Rice Burroughs,"{""Novel""}"
378,Demons of Chitrakut,Ashok Banker,"{""Religion""}"
379,The Chrysalids,John Wyndham,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
380,The Sundial,Shirley Jackson,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
381,Academ's Fury,Jim Butcher,"{""Speculative fiction"", ""Fantasy"",""Fantasy""}"
382,La Anam,Ihsan Abdel Quddous,"{""Drama"", ""Romance novel""}"
383,Zorba the Greek,Nikos Kazantzakis,"{""Fiction"", ""Novel""}"
384,King Kelson's Bride,Katherine Kurtz,"{""Speculative fiction"", ""Fantasy""}"
385,Watch and Ward,Henry James,"{""Novel""}"
386,Hostage,Robert Crais,"{""Thriller"",""Mystery"", ""Fiction"", ""Suspense""}"
387,The Journey of Ibn Fattouma,Naguib Mahfouz,"{""Novel""}"
388,Disturbing the Peace,Richard Yates,"{""Novel""}"
389,Doctor Thorne,Anthony Trollope,"{""Historical fiction"", ""Fiction""}"
390,The Saint and the Fiction Makers,Leslie Charteris,"{""Mystery""}"
391,Lost City,Clive Cussler,"{""Thriller"", ""Novel"", ""Adventure novel""}"
392,Children of God,Mary Doria Russell,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
393,The Ancestor Cell,Stephen Cole,"{""Speculative fiction""}"
394,The Fury,John Farris,"{""Thriller"",""Speculative fiction"", ""Horror""}"
395,Miss Hickory,Carolyn Sherwin Bailey,"{""Children's literature"", ""Fantasy"", ""Fiction""}"
396,Agent Arthur's Desert Challenge,Martin Oliver,"{""Children's literature""}"
397,Clockwork Angel,Cassandra Clare,"{""Fantasy"", ""Young adult literature"", ""Romance novel""}"
398,Cemetery Dance,Douglas Preston,"{""Thriller""}"
399,The Ruby Dice,Catherine Asaro,"{""Science Fiction"",""Speculative fiction""}"
400,As the Crow Flies,Jeffrey Archer,"{""Historical fiction"", ""Fiction"", ""Novel""}"
401,Skinwalkers,Tony Hillerman,"{""Mystery"",""Speculative fiction"",""Children's literature"", ""Fiction"", ""Suspense""}"
402,1636: The Saxon Uprising,Eric Flint,"{""Alternate history"", ""Science Fiction""}"
403,I Know This Much Is True,Wally Lamb,"{""Fiction"", ""Novel""}"
404,In Other Worlds,A. A. Attanasio,"{""Science Fiction"",""Speculative fiction""}"
405,Peter Duck,Arthur Ransome,"{""Children's literature"", ""Fiction"", ""Adventure novel""}"
406,Keeping the Moon,Sarah Dessen,"{""Children's literature"", ""Young adult literature"", ""Fiction""}"
407,Blow Your House Down,Pat Barker,"{""Fiction""}"
408,Pirates of Venus,Edgar Rice Burroughs,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
409,The Lies of Locke Lamora,Scott Lynch,"{""Speculative fiction"", ""Fantasy"", ""Novel""}"
410,The Bacta War,Michael A. Stackpole,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
411,Earthborn,Orson Scott Card,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
412,"He, She and It",Marge Piercy,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
413,Under the Skin,Michel Faber,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
414,The Ape Who Guards the Balance,Barbara Mertz,"{""Mystery"", ""Historical novel""}"
415,The Sea Devil's Eye,Mel Odom,"{""Speculative fiction"", ""Fantasy""}"
416,My Side of the Mountain,Jean Craighead George,"{""Children's literature"", ""Young adult literature""}"
417,Bullet Time,David A. McIntee,"{""Science Fiction""}"
418,Salt,Adam Roberts,"{""Science Fiction"",""Speculative fiction""}"
419,Half a Crown,Jo Walton,"{""Alternate history"", ""Science Fiction"",""Speculative fiction""}"
420,Day Watch,Vladimir Vasilyev,"{""Fantasy"",""Speculative fiction"", ""Horror""}"
421,Diary of an Ordinary Woman,Margaret Forster,"{""Novel""}"
422,Illegal Alien,Robert J. Sawyer,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
423,The Woven Path,Robin Jarvis,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
424,The Chestnut King,N. D. Wilson,"{""Fantasy""}"
425,Sky Burial,Xinran Xue,"{""Novel""}"
426,Soul Trade,Thomas E. Sniegoski,"{""Speculative fiction"", ""Horror""}"
427,A Hat Full of Sky,Terry Pratchett,"{""Speculative fiction"",""Children's literature""}"
428,Dying of the Light,George R. R. Martin,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
429,Sinister Barrier,Eric Frank Russell,"{""Science Fiction""}"
430,The Seven Dials Mystery,Agatha Christie,"{""Crime Fiction"",""Mystery"", ""Fiction"", ""Suspense""}"
431,Times Without Number,John Brunner,"{""Alternate history""}"
432,Aunts Aren't Gentlemen,P. G. Wodehouse,"{""Novel""}"
433,The Primrose Path,Bram Stoker,"{""Speculative fiction"", ""Novel""}"
434,The Real Life of Sebastian Knight,Vladimir Vladimirovich Nabokov,"{""Fiction""}"
435,Pertemuan Jodoh,Abdul Muis,"{""Novel""}"
436,Blink,Ted Dekker,"{""Thriller"",""Mystery"", ""Novel"", ""Fiction"", ""Suspense""}"
437,When the People Fell,Frederik Pohl,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
438,Becoming Julia,Chris Westwood,"{""Young adult literature""}"
439,Sharpe's Fortress,Bernard Cornwell,"{""Historical novel""}"
440,False Colours,Georgette Heyer,"{""Mystery"", ""Historical fiction"", ""Fiction"", ""Romance novel"", ""Suspense""}"
441,Jaws,Peter Benchley,"{""Novel""}"
442,Tempest,Christopher Bulis,"{""Speculative fiction""}"
443,Dr. Franklin's Island,Gwyneth Jones,"{""Science Fiction"", ""Young adult literature""}"
444,Prisoners of Power,Boris Strugatsky,"{""Science Fiction"",""Speculative fiction""}"
445,Master Georgie,Beryl Bainbridge,"{""Historical novel""}"
446,Star Wars Republic Commando: Triple Zero,Karen Traviss,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
447,A Body in the Bath House,Lindsey Davis,"{""Crime Fiction""}"
448,Wyatt's Hurricane,Desmond Bagley,"{""Thriller""}"
449,Buddy,Nigel Hinton,"{""Children's literature"", ""Fiction""}"
450,Death du Jour,Kathy Reichs,"{""Crime Fiction"",""Mystery"", ""Fiction""}"
451,I Didn't Mean to be Kevin,Caleb J. Ross,"{""Literary fiction""}"
452,Five Go To Mystery Moor,Enid Blyton,"{""Mystery"", ""Adventure novel""}"
453,A Redwall Winter's Tale,Brian Jacques,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
454,The Sky Is Falling,Kit Pearson,"{""Young adult literature""}"
455,Who Censored Roger Rabbit?,Gary Wolf,"{""Mystery"",""Speculative fiction""}"
456,The Armies of Memory,John Barnes,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
457,A Hero Ain't Nothin' but a Sandwich,Alice Childress,"{""Young adult literature""}"
458,Definitely Maybe,Boris Strugatsky,"{""Science Fiction""}"
459,A Visit from St. Nicholas,Clement Clarke Moore,"{""Children's literature""}"
460,Falconer's Lure,Antonia Forest,"{""Novel""}"
461,In Praise of the Stepmother,Mario Vargas Llosa,"{""Erotica"", ""Novel""}"
462,Song in the Silence,Elizabeth Kerner,"{""Science Fiction"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
463,Tempest-Tost,Robertson Davies,"{""Fiction""}"
464,The Book of Ebenezer Le Page,Gerald Basil Edwards,"{""Autobiographical novel""}"
465,Bones of the Hills,Conn Iggulden,"{""Historical novel""}"
466,A Golden Age,Tahmima Anam,"{""War novel"", ""Historical novel""}"
467,Hunter in the Dark,Monica Hughes,"{""Children's literature""}"
468,Icarus at the Edge of Time,Brian Greene,"{""Science Fiction"",""Children's literature""}"
469,Royal Assassin,Robin Hobb,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
470,Crossing the Line,Karen Traviss,"{""Science Fiction"",""Speculative fiction""}"
471,The Abyss,Orson Scott Card,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
472,The Book of Fours,Nancy Holder,"{""Science Fiction"",""Children's literature"", ""Horror"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
473,Rage of a Demon King,Raymond E. Feist,"{""Fantasy""}"
474,The Life and Loves of a She-Devil,Fay Weldon,"{""Mystery"", ""Novel"", ""Fiction"", ""Suspense""}"
475,Riceyman Steps,Arnold Bennett,"{""Fiction""}"
476,The Blue Afternoon,William Boyd,"{""Fiction"", ""Novel""}"
477,Noman,William Nicholson,"{""Fantasy""}"
478,Dombey and Son,Charles Dickens,"{""Novel""}"
479,Imaro,Charles R. Saunders,"{""Science Fiction"",""Speculative fiction"", ""Fantasy""}"
480,In the King's Service,Katherine Kurtz,"{""Speculative fiction"", ""Fantasy""}"
481,Parineeta,Sharat Chandra Chattopadhyay,"{""Novella""}"
482,Haunted,Kelley Armstrong,"{""Speculative fiction"", ""Fantasy"", ""Romance novel""}"
483,Forbidden,Caroline B. Cooney,"{""Mystery"",""Speculative fiction"", ""Young adult literature"", ""Romance novel""}"
484,To Light a Candle,Mercedes Lackey,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
485,Love and Death,Jeff Mariotte,"{""Science Fiction"",""Children's literature"", ""Horror"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
486,Mystery of the Samurai Sword,Franklin W. Dixon,"{""Mystery"", ""Detective fiction""}"
487,Gates of Paradise,V. C. Andrews,"{""Gothic fiction"", ""Young adult literature""}"
488,The Paper Bag Princess,Robert Munsch,"{""Children's literature"", ""Fiction""}"
489,One Flew Over the Cuckoo's Nest,Ken Kesey,"{""Children's literature"", ""Fiction"", ""Novel""}"
490,Article 23,William R. Forstchen,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Novel""}"
491,Moving the Mountain,Charlotte Perkins Gilman,"{""Utopian and dystopian fiction""}"
492,Stranger in a Strange Land,Robert A. Heinlein,"{""Science Fiction"", ""Fiction""}"
493,Lion in the Valley,Barbara Mertz,"{""Mystery"", ""Historical novel""}"
494,Native Tongue,Carl Hiaasen,"{""Crime Fiction"",""Mystery"", ""Suspense""}"
495,Conversations in Sicily,Elio Vittorini,"{""Fiction""}"
496,The Slaves of Solitude,Patrick Hamilton,"{""Novel""}"
497,The Strange Death of Tory England,Geoffrey Wheatcroft,"{""Politics""}"
498,The Butterfly Kid,Chester Anderson,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
499,Tactics of Mistake,Gordon R. Dickson,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
500,Child of a Dream,Valerio Massimo Manfredi,"{""Historical novel""}"
501,The Almost Moon,Alice Sebold,"{""Fiction""}"
502,The Genius and the Goddess,Aldous Huxley,"{""Romance novel""}"
503,Hocus Pocus,Kurt Vonnegut,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Novel""}"
504,Lord of the Nutcracker Men,Iain Lawrence,"{""Children's literature""}"
505,Beyond the Frontier: Dreadnaught,John G. Hemry,"{""Science Fiction""}"
506,Waiting for the Barbarians,John Maxwell Coetzee,"{""Speculative fiction"", ""Novel""}"
507,The Hooded Hawk Mystery,Franklin W. Dixon,"{""Mystery"", ""Detective fiction""}"
508,The Fallen,Thomas E. Sniegoski,"{""Speculative fiction""}"
509,Saints,Orson Scott Card,"{""History"", ""Science Fiction"", ""Fantasy"", ""Fiction""}"
510,"Catherine, Called Birdy",Karen Cushman,"{""Historical fiction"",""Children's literature"", ""Fiction"", ""Religion""}"
511,Firefox,Craig Thomas,"{""Techno-thriller"", ""Fiction""}"
512,The Dargonesti,Paul B. Thompson,"{""Speculative fiction"", ""Fantasy""}"
513,Or Die Trying,Sean Williams,"{""Science Fiction""}"
514,Patrick Butler for the Defense,John Dickson Carr,"{""Mystery"", ""Detective fiction""}"
515,Star Trek: The Motion Picture,Gene Roddenberry,"{""Science Fiction"",""Speculative fiction""}"
516,The Day My Bum Went Psycho,Andy Griffiths,"{""Children's literature"", ""Fiction""}"
517,The Lost Girl,D. H. Lawrence,"{""Novel""}"
518,Empire Star,Samuel R. Delany,"{""Science Fiction"",""Speculative fiction"", ""Novella""}"
519,Gunpowder Empire,Harry Turtledove,"{""Alternate history""}"
520,"Tony Hale, Space Detective",Hugh Walters,"{""Science Fiction""}"
521,Faith of My Fathers: A Family Memoir,Mark Salter,"{""Non-fiction""}"
522,"Soldier, Ask Not",Gordon R. Dickson,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
523,The Prophecy,K. A. Applegate,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
524,Sorcerer's Son,Phyllis Eisenstein,"{""Speculative fiction"", ""Fantasy""}"
525,The Tigers of Mompracem,Emilio Salgari,"{""Adventure novel""}"
526,The Mark of the Horse Lord,Rosemary Sutcliff,"{""Historical novel""}"
527,The Story of B,Daniel Quinn,"{""Novel""}"
528,The Blessing Way,Tony Hillerman,"{""Fiction""}"
529,Shroud of Shadow,Gael Baudino,"{""Fantasy""}"
530,Beauty,Raphael Selbourne,"{""Literary fiction""}"
531,Dune: The Battle of Corrin,Kevin J. Anderson,"{""Science Fiction"",""Speculative fiction""}"
532,Suttree,Cormac McCarthy,"{""Autobiographical novel"", ""Fiction""}"
533,The Body,Stephen King,"{""Novella""}"
534,The Black Prism,Brent Weeks,"{""Fantasy""}"
535,Death Masks,Jim Butcher,"{""Science Fiction"",""Speculative fiction"", ""Fantasy""}"
536,Red Prophet,Orson Scott Card,"{""Science Fiction"", ""Alternate history"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Humour""}"
537,Free Air,Sinclair Lewis,"{""Fiction""}"
538,All God's Children Need Traveling Shoes,Maya Angelou,"{""Autobiography""}"
539,A Glimpse of Tiger,Herman Raucher,"{""Novel""}"
540,Area 7,Matthew Reilly,"{""Techno-thriller"", ""Fiction""}"
541,Year of Wonders,Geraldine Brooks,"{""Historical fiction"", ""Fiction"", ""Historical novel""}"
542,The Sum of All Fears,Tom Clancy,"{""Thriller"",""Speculative fiction"", ""Fiction""}"
543,The Cat Who Had 60 Whiskers,Lilian Jackson Braun,"{""Crime Fiction"",""Mystery"", ""Fiction"", ""Novel""}"
544,The Winter King,Bernard Cornwell,"{""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Historical novel""}"
545,Po-on,F. Sionil José,"{""Fiction""}"
546,The Enchanted Island of Yew,L. Frank Baum,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
547,The Art of Fielding,Chad Harbach,"{""Literary fiction""}"
548,The Titan,P. Schuyler Miller,"{""Business"", ""Inspirational"",""Speculative fiction"", ""Economics"", ""Fiction"", ""Novel""}"
549,King's Man,Angus Donald,"{""Historical fiction""}"
550,Tarzan and the Forbidden City,Edgar Rice Burroughs,"{""Speculative fiction"", ""Adventure novel""}"
551,Salem Falls,Jodi Picoult,"{""Crime Fiction"", ""Novel""}"
552,The Tommyknockers,Stephen King,"{""Science Fiction"",""Children's literature"", ""Horror"",""Speculative fiction"", ""Fiction""}"
553,Children of Scarabaeus,Sara Creasy,"{""Novel"", ""Romance novel""}"
554,The Alchymist's Cat,Robin Jarvis,"{""Speculative fiction"", ""Fantasy""}"
555,Gerald's Game,Stephen King,"{""Thriller"",""Speculative fiction"", ""Horror""}"
556,Miss Lonelyhearts,Nathanael West,"{""Fiction""}"
557,Forest of Secrets,Victoria Holmes,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
558,Click Here :,Denise Vega,"{""Speculative fiction"", ""Young adult literature""}"
559,The Commodore,Patrick O'Brian,"{""Historical fiction"", ""Fiction"", ""Historical novel""}"
560,Dragons of Spring Dawning,Margaret Weis,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
561,If Only It Were True,Marc Levy,"{""Novel""}"
562,Death Note Another Note: The Los Angeles BB Murder Cases,Ishin Nishio,"{""Mystery"", ""Detective fiction""}"
563,The Last of the Jedi: Secret Weapon,Judy Blundell,"{""Science Fiction""}"
564,Tom Clancy's Splinter Cell,David Michaels,"{""Spy fiction""}"
565,Trouble with Lichen,John Wyndham,"{""Science Fiction"",""Speculative fiction""}"
566,Second Fiddle,Mary Wesley,"{""Novel""}"
567,It's Superman,Tom De Haven,"{""Science Fiction""}"
568,School Days,Robert B. Parker,"{""Detective fiction"",""Speculative fiction""}"
569,You Can't Live Forever,Harold Q. Masur,"{""Crime Fiction""}"
570,Point Blanc,Anthony Horowitz,"{""Thriller"", ""Spy fiction"",""Children's literature"", ""Fiction"", ""Adventure novel""}"
571,Expedition Venus,Hugh Walters,"{""Science Fiction"",""Speculative fiction""}"
572,Special Delivery,Steven Mark Sachs,"{""Speculative fiction"", ""Fiction"", ""Romance novel"", ""Novel""}"
573,Desolation Island,Patrick O'Brian,"{""Historical fiction"", ""Fiction"", ""Historical novel""}"
574,The Dark Portal,Robin Jarvis,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
575,The Thief Queen's Daughter,Elizabeth Haydon,"{""Fantasy"", ""Young adult literature""}"
576,Jovah's Angel,Sharon Shinn,"{""Science Fiction"",""Speculative fiction"", ""Fantasy""}"
577,CHERUB: Man Vs. Beast,Robert Muchamore,"{""Thriller"", ""Spy fiction"",""Children's literature""}"
578,Night and Day,Robert B. Parker,"{""Crime Fiction""}"
579,The Sport of the Gods,Paul Laurence Dunbar,"{""Novel""}"
580,Dragon's Kin,Todd McCaffrey,"{""Science Fiction"",""Speculative fiction"", ""Fantasy""}"
581,Monk's Hood,Edith Pargeter,"{""Mystery""}"
582,Rising Storm,Victoria Holmes,"{""Children's literature"", ""Fantasy""}"
583,Pan,Knut Hamsun,"{""Fiction""}"
584,The High Window,Raymond Chandler,"{""Crime Fiction"", ""Detective fiction"", ""Novel"", ""Hardboiled""}"
585,Waking the Dead,Scott Spencer,"{""Romance novel""}"
586,Dread Mountain,Jennifer Rowe,"{""Speculative fiction"", ""Fantasy""}"
587,How Firm a Foundation,David Weber,"{""Science Fiction""}"
588,A Tangled Web,Lucy Maud Montgomery,"{""Novel""}"
589,The Truce at Bakura,Kathy Tyers,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
590,The Business,Iain Banks,"{""Novel"", ""Fiction"", ""Suspense""}"
591,Darwinia,Robert Charles Wilson,"{""Alternate history"", ""Science Fiction"",""Speculative fiction"", ""Novel""}"
592,Irish Mist,Andrew Greeley,"{""Mystery"",""Speculative fiction"", ""Fiction""}"
593,JPod,Douglas Coupland,"{""Epistolary novel"", ""Satire"", ""Fiction""}"
594,The Forest,Edward Rutherfurd,"{""Historical fiction"", ""Fiction"", ""Historical novel""}"
595,Affinity,Sarah Waters,"{""Mystery"",""Speculative fiction"", ""Historical fiction"", ""Fiction"", ""Suspense""}"
596,The Well-Mannered War,Gareth Roberts,"{""Science Fiction""}"
597,After the Hole,Guy Burt,"{""Horror""}"
598,The Widows of Eastwick,John Updike,"{""Novel""}"
599,The Whaleboat House,Mark Mills,"{""Crime Fiction""}"
600,Tentacles,Roland Smith,"{""Fantasy""}"
601,We're Back! A Dinosaur's Story,Hudson Talbott,"{""Children's literature""}"
602,Icerigger,Alan Dean Foster,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
603,Death of a Red Heroine,Qiu Xiaolong,"{""Mystery"", ""Fiction"", ""Novel""}"
604,Dossouye,Charles R. Saunders,"{""Fantasy""}"
605,The Grass Harp,Truman Capote,"{""Novel""}"
606,The Mysterious Mannequin,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature""}"
607,Mockingjay,Suzanne Collins,"{""Science Fiction"",""Speculative fiction"", ""Young adult literature"", ""Adventure novel"", ""Utopian and dystopian fiction""}"
608,Vineland,Thomas Pynchon,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
609,Cel mai iubit dintre pământeni,Marin Preda,"{""Novel""}"
610,The Jewel in the Crown,Paul Scott,"{""History"", ""Novel""}"
611,Weir of Hermiston,Robert Louis Stevenson,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
612,Lady Susan,Jane Austen,"{""Epistolary novel"", ""Fiction"", ""Romance novel""}"
613,Corpse Marker,Chris Boucher,"{""Science Fiction"",""Speculative fiction""}"
614,Windhaven,Lisa Tuttle,"{""Speculative fiction"", ""Fantasy""}"
615,Sharra's Exile,Marion Zimmer Bradley,"{""Speculative fiction"", ""Fantasy""}"
616,The Two Faces of January,Patricia Highsmith,"{""Mystery"", ""Fiction"", ""Suspense""}"
617,Headhunter,Timothy Findley,"{""Speculative fiction"", ""Dystopia""}"
618,The House Without a Key,Earl Derr Biggers,"{""Mystery"", ""Fiction"", ""Suspense""}"
619,The Gates of Sleep,Mercedes Lackey,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
620,What the Dog Saw: And Other Adventures,Malcolm Gladwell,"{""Non-fiction""}"
621,Kendermore,Mary Kirchoff,"{""Speculative fiction"", ""Fantasy""}"
622,Restless,William Boyd,"{""Fiction""}"
623,The Seventh Gate,Tracy Hickman,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
624,Switchers,Kate Thompson,"{""Speculative fiction"", ""Fantasy""}"
625,Our Mutual Friend,Charles Dickens,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
626,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"{""Non-fiction""}"
627,Across the Nightingale Floor,Gillian Rubinstein,"{""Speculative fiction"", ""Fantasy""}"
628,The Other Face of Janus,Louise Katz,"{""Young adult literature""}"
629,Exile's Gate,C. J. Cherryh,"{""Science Fiction""}"
